Week,Kickoff,Guest,Home,Pts_G,Pts_H
1,2025-05-17 18:00 CET,Fehervar Enthroners,Panthers Wroclaw,12,55
1,2025-05-17 18:00 CET,Rhein Fire,Paris Musketeers,17,15
1,2025-05-17 20:00 CET,Hamburg Sea Devils,Madrid Bravos,12,13
1,2025-05-18 13:00 CET,Nordic Storm,Helvetic Mercenaries,56,12
1,2025-05-18 13:00 CET,Cologne Centurions,Berlin Thunder,14,63
1,2025-05-18 13:00 CET,Raiders Tirol,Munich Ravens,7,20
1,2025-05-18 16:25 CET,Vienna Vikings,Prague Lions,28,6
1,2025-05-18 16:25 CET,Frankfurt Galaxy,Stuttgart Surge,20,33
2,2025-05-24 18:00 CET,Fehervar Enthroners,Vienna Vikings,15,62
2,2025-05-24 18:00 CET,Hamburg Sea Devils,Prague Lions,28,13
2,2025-05-24 20:00 CET,Frankfurt Galaxy,Madrid Bravos,47,33
2,2025-05-25 13:00 CET,Nordic Storm,Panthers Wroclaw,40,21
2,2025-05-25 13:00 CET,Stuttgart Surge,Paris Musketeers,0,6
2,2025-05-25 16:25 CET,Berlin Thunder,Munich Ravens,16,38
2,2025-05-25 16:25 CET,Helvetic Mercenaries,Raiders Tirol,6,44
3,2025-05-31 15:00 CET,Prague Lions,Fehervar Enthroners,40,0
3,2025-05-31 18:00 CET,Raiders Tirol,Cologne Centurions,68,0
3,2025-05-31 18:00 CET,Stuttgart Surge,Hamburg Sea Devils,53,14
3,2025-05-31 20:00 CET,Helvetic Mercenaries,Madrid Bravos,35,47
3,2025-06-01 13:00 CET,Paris Musketeers,Frankfurt Galaxy,27,29
3,2025-06-01 13:00 CET,Berlin Thunder,Nordic Storm,0,35
3,2025-06-01 16:25 CET,Vienna Vikings,Rhein Fire,12,7
4,2025-06-07 18:00 CET,Berlin Thunder,Hamburg Sea Devils,14,31
4,2025-06-07 18:00 CET,Raiders Tirol,Vienna Vikings,7,41
4,2025-06-07 19:00 CET,Madrid Bravos,Fehervar Enthroners,45,7
4,2025-06-08 13:00 CET,Prague Lions,Panthers Wroclaw,45,13
4,2025-06-08 13:00 CET,Paris Musketeers,Rhein Fire,31,7
4,2025-06-08 16:25 CET,Cologne Centurions,Frankfurt Galaxy,15,47
4,2025-06-08 16:25 CET,Munich Ravens,Stuttgart Surge,28,36
5,2025-06-14 18:00 CET,Panthers Wroclaw,Cologne Centurions,57,3
5,2025-06-14 18:00 CET,Hamburg Sea Devils,Rhein Fire,0,43
5,2025-06-15 13:00 CET,Fehervar Enthroners,Berlin Thunder,21,38
5,2025-06-15 13:00 CET,Frankfurt Galaxy,Nordic Storm,0,35
5,2025-06-15 16:25 CET,Madrid Bravos,Raiders Tirol,34,35
5,2025-06-15 16:25 CET,Helvetic Mercenaries,Munich Ravens,14,58
